BRAND,MTD Sales Target,Actual Sales MTD,MTD Sales Acv
Augment,15454,13167,85.20124239679048
Biltin,28682,2640,9.20437905306464
Desodin,204,283,138.72549019607843
Dinafex,39224,23173,59.078625331429734
Dorenta,27416,11148,40.6623869273417
Etorix,86257,65768,76.24656549613364
Fenobac,5064,1795,35.44628751974723
Flucloxin,110084,81478,74.01438901202718
Geminox,91,0,0.0
Ketonic,44253,27663,62.51101620229137
Levomax,1318,711,53.94537177541729
Lindamax,2735,1791,65.48446069469836
Mebidal,257,86,33.46303501945525
Nabumet,15774,12406,78.64840877393179
Naprox,34238,25343,74.02009463169577
Ontin,8197,4069,49.64011223618397
Oradin,46552,26716,57.38958583949132
Osticare,8459,4160,49.17838988060054
Paino,1685,1144,67.89317507418397
Quinox,27852,18743,67.29498779261812
Rupaday,3232,1194,36.943069306930695
Sk-Mox,32153,23085,71.79734394924269
Stiba,5063,2115,41.77365198498914
Sulidac,4873,3167,64.99076544223271
Tenoxim,1674,889,53.106332138590204
Timothy,3139,4824,153.67951576935332
Tojak,5580,3527,63.20788530465949
Toperin,239,426,178.2426778242678
Toti,99162,91050,91.8194469655715
Visomox,2107,1308,62.07878500237304
Zithrox,69806,38344,54.929375698364034
