brand,Ashik,Mahinoor,Muhit,Suraiya,brand,Ashik,Mahinoor,Muhit,Suraiya
Aggra,,,,,Aggra,,,,
Aladay,,,,,Aladay,,,,
Alben,,,,,Alben,,,,
Aldorin,,,,,Aldorin,,,,
Alphagan,,,,,Alphagan,,,,
Amboten,,,,,Amboten,,,,
Anapril,,,,,Anapril,,,,
Arocef,,,,,Arocef,,,,
Arotide,,,,,Arotide,,,,
Augment,,,,,Augment,,,,
Biltin,,,,,Biltin,,,,
Bonflex,,,,,Bonflex,,,,
Brexi,,,,,Brexi,,,,
Brizy,,,,,Brizy,,,,
Cal X,,,,,Cal X,,,,
Carbazin,,,,,Carbazin,,,,
Carbolin,,,,,Carbolin,,,,
Cardimet,,,,,Cardimet,,,,
Cardobis,,,,,Cardobis,,,,
Cardon,,,,,Cardon,,,,
Cefaten,,,,,Cefaten,,,,
Ceflon,,,,,Ceflon,,,,
Cefoject,,,,,Cefoject,,,,
Cloron,,,,,Cloron,,,,
Combigan,,,,,Combigan,,,,
Cortider,,25085.44,,,Cortider,,29625.8064516129,,
Creston,,,,,Creston,,,,
Danamet,,,,,Danamet,,,,
Desodin,,,,,Desodin,,,,
Dexpofen,,,,,Dexpofen,,,,
Dexpoten Plus,,,,,Dexpoten Plus,,,,
Dextor,,,,,Dextor,,,,
Dextor OPT,,,,,Dextor OPT,,,,
Dezide,,,,,Dezide,,,,
Dialon,,,,,Dialon,,,,
Dietil,,,,,Dietil,,,,
Dilator,,,,,Dilator,,,,
Dinafex,,,,,Dinafex,,,,
Dorenta,,,,,Dorenta,,,,
Dumax,,,,,Dumax,,,,
Edenil,,,,,Edenil,,,,
Emazid,,,,,Emazid,,,,
Emezin,,,,,Emezin,,,,
Esoral,,,31124836.18,,Esoral,,,30716870.096774194,
Ethinor,,,,,Ethinor,,,,
Etorix,,,,,Etorix,,,,
ETRIAM,,,,1815054.78,ETRIAM,,,,967419.3548387097
Facid,,,,8046512.44,Facid,,,,3699804.8387096776
Fenobac,,,,,Fenobac,,,,
Feofer,,,,,Feofer,,,,
Feofol,,,,,Feofol,,,,
Feozin,,,,,Feozin,,,,
Fibrino,,,,,Fibrino,,,,
Flucloxin,,,,,Flucloxin,,,,
Flucoder,,435531.75,,,Flucoder,,400265.9903225806,,
Folvit,,,,,Folvit,,,,
Freshtear,,,,,Freshtear,,,,
Gasnil,,,,,Gasnil,,,,
Gastid,,,,,Gastid,,,,
Gelid,,,,,Gelid,,,,
GLIKAZID,,,,,GLIKAZID,,,,
Glunor,,,,,Glunor,,,,
GTN,,,,,GTN,,,,
Hairgrow,,,31034.82,,Hairgrow,,,86642.59032258065,
Handirub,,,,,Handirub,,,,
Hapytab,,,,,Hapytab,,,,
Hi - C,,,,,Hi - C,,,,
Hunny,,,,,Hunny,,,,
Irbes,,,,,Irbes,,,,
Isobgul ,,,,,Isobgul ,,,,
Juci,,,,,Juci,,,,
Kefuclav,,,,,Kefuclav,,,,
Ketonic,,,,,Ketonic,,,,
Kezona,,,259476.8,,Kezona,,,261161.29032258064,
Kilmax,,,,,Kilmax,,,,
Laxitol,,,,,Laxitol,,,,
Lenor,,,,,Lenor,,,,
Levomax,,,,,Levomax,,,,
Levomax OS,,,,,Levomax OS,,,,
Licnil,137089.87,,,,Licnil,136355.21612903225,,,
