brand,Ashik,Ashik.1,Mahinoor,Mahinoor.1,Muhit,Muhit.1,Suraiya,Suraiya.1
Sorex,0.0,0.0,0.0,0.0,0.0,0.0,57569.28,25970.012903225805
Perosa,0.0,0.0,0.0,0.0,0.0,0.0,274728.4,145083.87096774188
Mupiron,0.0,0.0,0.0,0.0,0.0,0.0,536084.06,209846.6612903226
Nospot,0.0,0.0,0.0,0.0,0.0,0.0,711567.78,169275.80645161288
ETRIAM,0.0,0.0,0.0,0.0,0.0,0.0,1815054.78,967419.3548387096
Mycofin,0.0,0.0,0.0,0.0,0.0,0.0,4413252.54,2176322.5806451607
Facid,0.0,0.0,0.0,0.0,0.0,0.0,8046512.44,3699804.8387096776
Hairgrow,0.0,0.0,0.0,0.0,31034.82,86642.59032258065,0.0,0.0
Panoral,0.0,0.0,0.0,0.0,121256.64,165058.22580645158,0.0,0.0
Kezona,0.0,0.0,0.0,0.0,259476.8,261161.29032258067,0.0,0.0
Rabifast,0.0,0.0,0.0,0.0,1570022.08,1561778.583870968,0.0,0.0
Esoral,0.0,0.0,0.0,0.0,31124836.18,30716870.096774194,0.0,0.0
Losectil,0.0,0.0,0.0,0.0,69410527.36,62706502.27741935,0.0,0.0
Cortider,0.0,0.0,25085.44,29625.8064516129,0.0,0.0,0.0,0.0
Softi,0.0,0.0,86766.42,76175.80645161291,0.0,0.0,0.0,0.0
Topibet,0.0,0.0,142384.19,109635.12258064515,0.0,0.0,0.0,0.0
Orogurd,0.0,0.0,232816.48,174116.12903225806,0.0,0.0,0.0,0.0
Flucoder,0.0,0.0,435531.75,400265.9903225806,0.0,0.0,0.0,0.0
Topiclo,0.0,0.0,1279418.04,1101118.9161290324,0.0,0.0,0.0,0.0
Lulizol,0.0,0.0,4284210.7,3288580.64516129,0.0,0.0,0.0,0.0
Licnil,137089.87,136355.21612903225,0.0,0.0,0.0,0.0,0.0,0.0
